latitude,longitude
44.500000,-89.500000
39.000000,-80.500000
44.000000,-72.699997
31.000000,-100.000000
44.500000,-100.000000
41.700001,-71.500000
44.000000,-120.500000
43.000000,-75.000000
44.000000,-71.500000
